MACS3-1,,,,,,
"Thursday, May 31, 2012 11:38:22",,,,,,
C:\elandata_User\Dataset\Default\Blank.510,,,,,,
90,,,,,,
Dual,,,,,,
C:\elandata_User\Sample\Laser Monitoring.sam,,,,,,
C:\elandata_User\Method\Laser TED.mth,,,,,,
C:\elandata_User\Dataset\Ted053112\MACS3-1.001,,,,,,
1,,,,,,
  ,Ba,137,11.97,11.974,,ppm
  ,Ba,138,3.97,3.974,,ppm
  ,Ca,44,24261.4,24261.395,,ppm
  ,Ca,43,724.03,724.026,,ppm
  ,Pb,208,48,48,,ppm
  ,Sr,86,100,100.001,,ppm
  ,Sr,88,4,4,,ppm
  ,Zn,64,40,40,,ppm
  ,Mg,24,8,8,,mg/L
  ,Mn,55,208,208.002,,mg/L
  ,I,127,2124.23,2124.226,,mg/L
2,,,,,,
  ,Ba,137,4,4,,ppm
  ,Ba,138,4,4,,ppm
  ,Ca,44,24722.52,24722.522,,ppm
  ,Ca,43,748.03,748.028,,ppm
  ,Pb,208,52,52,,ppm
  ,Sr,86,80,80,,ppm
  ,Sr,88,8,8,,ppm
  ,Zn,64,40,40,,ppm
  ,Mg,24,0,0,,mg/L
  ,Mn,55,180,180.002,,mg/L
  ,I,127,2276.26,2276.259,,mg/L
3,,,,,,
  ,Ba,137,-0.01,-0.011,,ppm
  ,Ba,138,-0.01,-0.011,,ppm
  ,Ca,44,24105.02,24105.018,,ppm
  ,Ca,43,568.02,568.016,,ppm
  ,Pb,208,44,44,,ppm
  ,Sr,86,80,80,,ppm
  ,Sr,88,0,0,,ppm
  ,Zn,64,68,68,,ppm
  ,Mg,24,0,0,,mg/L
  ,Mn,55,140,140.001,,mg/L
  ,I,127,1924.19,1924.185,,mg/L
4,,,,,,
  ,Ba,137,12,11.996,,ppm
  ,Ba,138,4,3.996,,ppm
  ,Ca,44,24213.28,24213.279,,ppm
  ,Ca,43,572.02,572.016,,ppm
  ,Pb,208,40,40,,ppm
  ,Sr,86,108,108.001,,ppm
  ,Sr,88,0,0,,ppm
  ,Zn,64,60,60,,ppm
  ,Mg,24,4,4,,mg/L
  ,Mn,55,132,132.001,,mg/L
  ,I,127,2008.2,2008.202,,mg/L
5,,,,,,
  ,Ba,137,12,12,,ppm
  ,Ba,138,8,8,,ppm
  ,Ca,44,24076.95,24076.95,,ppm
  ,Ca,43,716.03,716.026,,ppm
  ,Pb,208,44,44,,ppm
  ,Sr,86,124,124.001,,ppm
  ,Sr,88,4,4,,ppm
  ,Zn,64,140,140.001,,ppm
  ,Mg,24,0,0,,mg/L
  ,Mn,55,152,152.001,,mg/L
  ,I,127,2236.25,2236.25,,mg/L
6,,,,,,
  ,Ba,137,-0.04,-0.045,,ppm
  ,Ba,138,15.96,15.955,,ppm
  ,Ca,44,23820.34,23820.337,,ppm
  ,Ca,43,600.02,600.018,,ppm
  ,Pb,208,56,56,,ppm
  ,Sr,86,68,68,,ppm
  ,Sr,88,4,4,,ppm
  ,Zn,64,92,92,,ppm
  ,Mg,24,4,4,,mg/L
